rodada,ano,mandante,visitante,vencedor,mandante_Placar,visitante_Placar
36,2005,Botafogo-RJ,Sao Caetano,Botafogo-RJ,1,0
36,2005,Parana,Internacional,Parana,3,1
36,2005,Paysandu,Brasiliense,Paysandu,2,1
37,2005,Sao Paulo,Juventude,Sao Paulo,3,1
37,2005,Fortaleza,Cruzeiro,Fortaleza,3,1
37,2005,Flamengo,Botafogo-RJ,Flamengo,3,1
37,2005,Sao Caetano,Vasco,Vasco,1,2
37,2005,Corinthians,Santos,Corinthians,7,1
37,2005,Internacional,Ponte Preta,Internacional,2,1
37,2005,Parana,Paysandu,Parana,2,0
37,2005,Atletico-MG,Goias,Goias,1,2
37,2005,Fluminense,Figueirense,Fluminense,2,0
37,2005,Athletico-PR,Palmeiras,Athletico-PR,4,0
37,2005,Brasiliense,Coritiba,-,1,1
38,2005,Palmeiras,Sao Paulo,Palmeiras,2,1
38,2005,Botafogo-RJ,Parana,Botafogo-RJ,2,0
38,2005,Paysandu,Atletico-MG,Atletico-MG,0,2
38,2005,Figueirense,Fortaleza,Figueirense,1,0
38,2005,Goias,Athletico-PR,Goias,4,2
38,2005,Ponte Preta,Flamengo,-,2,2
38,2005,Coritiba,Corinthians,Corinthians,0,1
38,2005,Vasco,Fluminense,Vasco,2,0
38,2005,Cruzeiro,Brasiliense,Cruzeiro,1,0
38,2005,Juventude,Sao Caetano,Juventude,3,1
38,2005,Santos,Internacional,Internacional,0,4
39,2005,Palmeiras,Juventude,Palmeiras,3,2
39,2005,Flamengo,Fortaleza,Flamengo,3,0
39,2005,Goias,Sao Paulo,Goias,3,0
39,2005,Internacional,Brasiliense,Internacional,1,0
39,2005,Sao Caetano,Corinthians,Sao Caetano,1,0
39,2005,Santos,Parana,-,0,0
39,2005,Figueirense,Vasco,Figueirense,5,1
39,2005,Paysandu,Botafogo-RJ,Paysandu,2,0
39,2005,Coritiba,Ponte Preta,Coritiba,2,1
39,2005,Cruzeiro,Athletico-PR,Athletico-PR,1,2
39,2005,Fluminense,Atletico-MG,Atletico-MG,0,2
40,2005,Sao Paulo,Figueirense,Sao Paulo,4,2
40,2005,Juventude,Goias,Juventude,2,1
40,2005,Brasiliense,Santos,Brasiliense,1,0
40,2005,Parana,Flamengo,Flamengo,0,1
40,2005,Corinthians,Internacional,-,1,1
40,2005,Athletico-PR,Sao Caetano,-,2,2
40,2005,Vasco,Paysandu,Vasco,4,0
40,2005,Atletico-MG,Coritiba,Atletico-MG,1,0
40,2005,Fortaleza,Fluminense,Fortaleza,5,1
40,2005,Ponte Preta,Palmeiras,Palmeiras,2,6
40,2005,Botafogo-RJ,Cruzeiro,Botafogo-RJ,2,1
41,2005,Atletico-MG,Vasco,-,0,0
41,2005,Brasiliense,Figueirense,Figueirense,0,2
41,2005,Athletico-PR,Paysandu,Athletico-PR,3,2
41,2005,Sao Caetano,Coritiba,-,1,1
41,2005,Internacional,Palmeiras,Internacional,2,1
41,2005,Parana,Cruzeiro,Parana,2,0
41,2005,Fluminense,Juventude,Juventude,1,2
41,2005,Corinthians,Ponte Preta,Corinthians,3,1
41,2005,Fortaleza,Sao Paulo,Fortaleza,1,0
41,2005,Flamengo,Goias,-,0,0
41,2005,Santos,Botafogo-RJ,Santos,2,1
42,2005,Sao Paulo,Athletico-PR,Sao Paulo,3,1
42,2005,Paysandu,Flamengo,Flamengo,1,4
42,2005,Figueirense,Santos,Figueirense,3,1
42,2005,Ponte Preta,Brasiliense,Ponte Preta,3,1
42,2005,Vasco,Parana,Vasco,3,1
42,2005,Coritiba,Internacional,Coritiba,1,0
42,2005,Palmeiras,Fluminense,Palmeiras,3,2
42,2005,Juventude,Atletico-MG,Atletico-MG,1,3
42,2005,Cruzeiro,Sao Caetano,Sao Caetano,1,3
42,2005,Botafogo-RJ,Fortaleza,Botafogo-RJ,2,0
42,2005,Goias,Corinthians,Goias,3,2
1,2006,Juventude,Parana,Juventude,1,0
1,2006,Vasco,Internacional,-,1,1
1,2006,Sao Paulo,Flamengo,Sao Paulo,1,0
1,2006,Gremio,Corinthians,Gremio,2,0
1,2006,Botafogo-RJ,Fortaleza,Botafogo-RJ,1,0
1,2006,Sao Caetano,Cruzeiro,Sao Caetano,2,1
1,2006,Palmeiras,Ponte Preta,Ponte Preta,2,3
1,2006,Santa Cruz,Figueirense,-,0,0
1,2006,Athletico-PR,Fluminense,Fluminense,1,2
1,2006,Goias,Santos,-,0,0
2,2006,Corinthians,Sao Caetano,Corinthians,3,0
2,2006,Fluminense,Goias,Fluminense,1,0
2,2006,Figueirense,Palmeiras,Figueirense,6,1
2,2006,Internacional,Santa Cruz,Internacional,1,0
2,2006,Santos,Athletico-PR,Santos,2,0
2,2006,Ponte Preta,Vasco,Vasco,1,2
2,2006,Flamengo,Juventude,Flamengo,3,1
2,2006,Cruzeiro,Gremio,Cruzeiro,3,1
2,2006,Parana,Botafogo-RJ,-,0,0
2,2006,Fortaleza,Sao Paulo,Fortaleza,1,0
3,2006,Fortaleza,Sao Caetano,Fortaleza,2,1
3,2006,Botafogo-RJ,Athletico-PR,Athletico-PR,0,4
3,2006,Sao Paulo,Santa Cruz,Sao Paulo,4,0
3,2006,Ponte Preta,Corinthians,Ponte Preta,3,2
3,2006,Internacional,Flamengo,Internacional,1,0
3,2006,Parana,Gremio,Parana,5,2
3,2006,Palmeiras,Santos,Santos,1,2
3,2006,Vasco,Fluminense,-,1,1
3,2006,Juventude,Goias,-,1,1
3,2006,Figueirense,Cruzeiro,Cruzeiro,0,2
4,2006,Santa Cruz,Ponte Preta,-,1,1
4,2006,Fluminense,Parana,Fluminense,2,1
4,2006,Santos,Fortaleza,Santos,2,0
4,2006,Gremio,Vasco,Vasco,1,2
4,2006,Sao Caetano,Palmeiras,Sao Caetano,2,0
4,2006,Athletico-PR,Internacional,Internacional,1,2
4,2006,Corinthians,Sao Paulo,Sao Paulo,1,3
4,2006,Flamengo,Botafogo-RJ,Flamengo,1,0
4,2006,Goias,Figueirense,Goias,2,1
4,2006,Cruzeiro,Juventude,Cruzeiro,2,0
5,2006,Sao Caetano,Juventude,Juventude,0,2
5,2006,Botafogo-RJ,Gremio,-,2,2
5,2006,Santos,Ponte Preta,Santos,3,1
5,2006,Santa Cruz,Athletico-PR,Athletico-PR,1,2
5,2006,Internacional,Sao Paulo,Internacional,3,1
5,2006,Figueirense,Fluminense,Figueirense,1,0
5,2006,Palmeiras,Cruzeiro,-,1,1
5,2006,Flamengo,Fortaleza,-,0,0
5,2006,Parana,Corinthians,Corinthians,1,2
5,2006,Goias,Vasco,Goias,2,0
6,2006,Athletico-PR,Goias,Goias,2,3
6,2006,Fortaleza,Parana,-,1,1
6,2006,Internacional,Figueirense,Figueirense,2,4
6,2006,Sao Paulo,Sao Caetano,Sao Paulo,1,0
6,2006,Palmeiras,Santa Cruz,Palmeiras,2,1
6,2006,Cruzeiro,Flamengo,Cruzeiro,2,1
6,2006,Vasco,Corinthians,Corinthians,2,4
6,2006,Ponte Preta,Gremio,-,1,1
6,2006,Fluminense,Santos,Fluminense,1,0
6,2006,Juventude,Botafogo-RJ,Juventude,1,0
7,2006,Cruzeiro,Ponte Preta,Cruzeiro,5,1
7,2006,Parana,Figueirense,-,0,0
7,2006,Juventude,Santa Cruz,Juventude,4,1
7,2006,Sao Paulo,Palmeiras,Sao Paulo,4,1
7,2006,Sao Caetano,Athletico-PR,Sao Caetano,2,1
7,2006,Fortaleza,Fluminense,Fluminense,2,5
7,2006,Flamengo,Santos,-,2,2
7,2006,Botafogo-RJ,Vasco,Botafogo-RJ,4,1
7,2006,Gremio,Goias,Gremio,2,0
7,2006,Corinthians,Internacional,Internacional,0,1
8,2006,Athletico-PR,Juventude,Athletico-PR,1,0
8,2006,Figueirense,Fortaleza,-,0,0
8,2006,Ponte Preta,Parana,Parana,2,5
8,2006,Santos,Corinthians,Santos,2,0
8,2006,Internacional,Cruzeiro,-,1,1
8,2006,Santa Cruz,Botafogo-RJ,-,1,1
8,2006,Fluminense,Flamengo,Fluminense,1,0
8,2006,Palmeiras,Gremio,Gremio,0,1
8,2006,Goias,Sao Caetano,Goias,2,1
8,2006,Vasco,Sao Paulo,-,1,1
9,2006,Cruzeiro,Athletico-PR,-,1,1
9,2006,Fortaleza,Vasco,-,1,1
9,2006,Juventude,Ponte Preta,Ponte Preta,0,1
9,2006,Sao Caetano,Internacional,-,1,1
9,2006,Sao Paulo,Fluminense,Sao Paulo,1,0
9,2006,Gremio,Santos,Gremio,1,0
9,2006,Flamengo,Palmeiras,Flamengo,2,1
9,2006,Botafogo-RJ,Figueirense,Figueirense,2,3
9,2006,Parana,Santa Cruz,Parana,3,0
9,2006,Corinthians,Goias,Goias,0,1
10,2006,Fluminense,Internacional,Internacional,2,3
10,2006,Fortaleza,Cruzeiro,Cruzeiro,0,2
10,2006,Gremio,Sao Caetano,-,1,1
10,2006,Corinthians,Flamengo,Flamengo,0,2
10,2006,Vasco,Santa Cruz,Vasco,2,1
10,2006,Ponte Preta,Figueirense,Ponte Preta,3,0
10,2006,Athletico-PR,Palmeiras,Athletico-PR,2,0
10,2006,Goias,Parana,Parana,1,2
10,2006,Juventude,Sao Paulo,-,1,1
10,2006,Santos,Botafogo-RJ,-,0,0
11,2006,Internacional,Ponte Preta,Internacional,2,0
11,2006,Athletico-PR,Fortaleza,-,0,0
11,2006,Fluminense,Juventude,Fluminense,3,2
11,2006,Sao Paulo,Gremio,Sao Paulo,2,1
11,2006,Figueirense,Santos,Figueirense,2,1
11,2006,Sao Caetano,Botafogo-RJ,-,1,1
11,2006,Cruzeiro,Corinthians,Cruzeiro,2,0
11,2006,Santa Cruz,Goias,Santa Cruz,2,1
11,2006,Flamengo,Parana,Parana,1,4
11,2006,Palmeiras,Vasco,Palmeiras,4,2
12,2006,Botafogo-RJ,Ponte Preta,Botafogo-RJ,4,1
12,2006,Sao Paulo,Figueirense,Sao Paulo,2,1
12,2006,Gremio,Fluminense,-,4,4
12,2006,Palmeiras,Corinthians,Palmeiras,1,0
12,2006,Sao Caetano,Santos,Sao Caetano,2,0
12,2006,Cruzeiro,Goias,-,0,0
12,2006,Fortaleza,Santa Cruz,Santa Cruz,1,4
12,2006,Parana,Athletico-PR,Parana,2,1
12,2006,Juventude,Internacional,Juventude,2,0
12,2006,Flamengo,Vasco,Vasco,0,1
13,2006,Figueirense,Gremio,Figueirense,2,0
13,2006,Parana,Cruzeiro,Parana,1,0
13,2006,Corinthians,Fortaleza,-,2,2
13,2006,Fluminense,Sao Caetano,-,2,2
13,2006,Ponte Preta,Sao Paulo,Sao Paulo,1,3
13,2006,Vasco,Athletico-PR,Vasco,2,1
13,2006,Santa Cruz,Flamengo,Santa Cruz,3,0
13,2006,Santos,Juventude,Santos,3,2
13,2006,Internacional,Botafogo-RJ,-,0,0
13,2006,Goias,Palmeiras,Palmeiras,1,3
14,2006,Juventude,Figueirense,Juventude,1,0
14,2006,Sao Caetano,Ponte Preta,-,1,1
14,2006,Palmeiras,Parana,Palmeiras,4,2
14,2006,Sao Paulo,Santos,Santos,0,4
14,2006,Santa Cruz,Corinthians,Santa Cruz,1,0
14,2006,Vasco,Cruzeiro,Vasco,1,0
14,2006,Athletico-PR,Flamengo,Athletico-PR,1,0
14,2006,Goias,Fortaleza,-,1,1
14,2006,Internacional,Gremio,-,0,0
14,2006,Fluminense,Botafogo-RJ,-,1,1
15,2006,Figueirense,Sao Caetano,-,1,1
15,2006,Gremio,Juventude,Gremio,1,0
15,2006,Corinthians,Athletico-PR,Corinthians,2,1
15,2006,Flamengo,Goias,Flamengo,1,0
15,2006,Santos,Internacional,Santos,2,1
15,2006,Botafogo-RJ,Sao Paulo,-,1,1
15,2006,Parana,Vasco,Parana,2,1
15,2006,Ponte Preta,Fluminense,Ponte Preta,3,0
15,2006,Cruzeiro,Santa Cruz,-,3,3
15,2006,Fortaleza,Palmeiras,-,0,0
16,2006,Juventude,Vasco,-,0,0
16,2006,Sao Caetano,Santa Cruz,Sao Caetano,2,0
16,2006,Corinthians,Figueirense,Figueirense,1,3
16,2006,Flamengo,Ponte Preta,-,0,0
16,2006,Botafogo-RJ,Palmeiras,Palmeiras,1,3
16,2006,Gremio,Athletico-PR,Gremio,2,0
16,2006,Cruzeiro,Fluminense,Fluminense,2,3
16,2006,Fortaleza,Internacional,Internacional,1,2
16,2006,Sao Paulo,Goias,Sao Paulo,2,1
16,2006,Parana,Santos,-,1,1
17,2006,Ponte Preta,Fortaleza,Fortaleza,1,3
17,2006,Santa Cruz,Gremio,Gremio,2,4
17,2006,Vasco,Sao Caetano,Sao Caetano,1,2
17,2006,Goias,Botafogo-RJ,-,2,2
17,2006,Figueirense,Flamengo,-,1,1
17,2006,Fluminense,Corinthians,Corinthians,1,2
17,2006,Santos,Cruzeiro,Santos,2,0
17,2006,Palmeiras,Juventude,-,1,1
18,2006,Ponte Preta,Goias,Ponte Preta,3,2
18,2006,Flamengo,Gremio,Flamengo,1,0
18,2006,Fluminense,Santa Cruz,-,1,1
18,2006,Santos,Vasco,Vasco,0,2
18,2006,Fortaleza,Juventude,Fortaleza,4,1
18,2006,Cruzeiro,Sao Paulo,-,2,2
18,2006,Figueirense,Athletico-PR,-,3,3
18,2006,Parana,Sao Caetano,Parana,1,0
18,2006,Internacional,Palmeiras,-,1,1
18,2006,Corinthians,Botafogo-RJ,Corinthians,1,0
19,2006,Athletico-PR,Ponte Preta,Athletico-PR,3,0
19,2006,Goias,Internacional,-,2,2
19,2006,Palmeiras,Fluminense,Palmeiras,3,0
19,2006,Botafogo-RJ,Cruzeiro,Botafogo-RJ,1,0
19,2006,Santa Cruz,Santos,-,1,1
19,2006,Juventude,Corinthians,-,0,0
19,2006,Sao Caetano,Flamengo,-,2,2
19,2006,Gremio,Fortaleza,Gremio,4,1
19,2006,Sao Paulo,Parana,Sao Paulo,3,2
19,2006,Vasco,Figueirense,Vasco,3,1
20,2006,Fluminense,Athletico-PR,Athletico-PR,1,2
20,2006,Santos,Goias,Santos,2,1
20,2006,Cruzeiro,Sao Caetano,Cruzeiro,3,0
20,2006,Flamengo,Sao Paulo,-,1,1
20,2006,Corinthians,Gremio,Gremio,0,2
20,2006,Internacional,Vasco,Vasco,1,2
20,2006,Parana,Juventude,Juventude,0,1
20,2006,Ponte Preta,Palmeiras,-,1,1
20,2006,Figueirense,Santa Cruz,Figueirense,2,0
20,2006,Fortaleza,Botafogo-RJ,Botafogo-RJ,2,3
21,2006,Gremio,Cruzeiro,Gremio,2,1
21,2006,Goias,Fluminense,Goias,3,1
21,2006,Santa Cruz,Internacional,Internacional,0,2
21,2006,Palmeiras,Figueirense,-,1,1
21,2006,Juventude,Flamengo,Juventude,1,0
21,2006,Sao Caetano,Corinthians,Corinthians,0,1
21,2006,Athletico-PR,Santos,Athletico-PR,2,1
21,2006,Botafogo-RJ,Parana,Botafogo-RJ,4,0
21,2006,Sao Paulo,Fortaleza,-,1,1
21,2006,Vasco,Ponte Preta,-,2,2
22,2006,Cruzeiro,Figueirense,-,2,2
22,2006,Flamengo,Internacional,Internacional,1,2
22,2006,Santos,Palmeiras,Santos,5,1
22,2006,Gremio,Parana,Gremio,2,1
22,2006,Sao Caetano,Fortaleza,-,0,0
22,2006,Athletico-PR,Botafogo-RJ,Botafogo-RJ,0,5
22,2006,Goias,Juventude,Goias,2,0
22,2006,Fluminense,Vasco,-,1,1
22,2006,Santa Cruz,Sao Paulo,Sao Paulo,1,3
22,2006,Corinthians,Ponte Preta,Corinthians,1,0
23,2006,Ponte Preta,Santa Cruz,Ponte Preta,2,0
23,2006,Vasco,Gremio,-,1,1
23,2006,Palmeiras,Sao Caetano,Palmeiras,3,1
23,2006,Juventude,Cruzeiro,Juventude,2,0
23,2006,Sao Paulo,Corinthians,-,0,0
23,2006,Parana,Fluminense,Parana,1,0
23,2006,Figueirense,Goias,-,2,2
23,2006,Internacional,Athletico-PR,Internacional,2,0
23,2006,Botafogo-RJ,Flamengo,Flamengo,0,2
23,2006,Fortaleza,Santos,-,1,1
24,2006,Athletico-PR,Santa Cruz,Athletico-PR,2,1
24,2006,Vasco,Goias,-,0,0
24,2006,Corinthians,Parana,Corinthians,1,0
24,2006,Cruzeiro,Palmeiras,Cruzeiro,1,0
24,2006,Sao Paulo,Internacional,Sao Paulo,2,0
24,2006,Gremio,Botafogo-RJ,Gremio,4,0
24,2006,Juventude,Sao Caetano,Juventude,1,0
24,2006,Fluminense,Figueirense,Fluminense,2,0
24,2006,Ponte Preta,Santos,Ponte Preta,1,0
24,2006,Fortaleza,Flamengo,Flamengo,3,4
25,2006,Gremio,Ponte Preta,Gremio,4,0
25,2006,Figueirense,Internacional,Figueirense,1,0
25,2006,Botafogo-RJ,Juventude,Botafogo-RJ,2,1
25,2006,Parana,Fortaleza,Parana,2,0
25,2006,Goias,Athletico-PR,-,2,2
25,2006,Santos,Fluminense,-,1,1
25,2006,Sao Caetano,Sao Paulo,Sao Paulo,0,1
25,2006,Corinthians,Vasco,-,1,1
25,2006,Flamengo,Cruzeiro,Flamengo,1,0
25,2006,Santa Cruz,Palmeiras,Santa Cruz,3,2
26,2006,Fluminense,Fortaleza,Fortaleza,1,3
26,2006,Athletico-PR,Sao Caetano,Athletico-PR,3,1
26,2006,Santos,Flamengo,Santos,3,0
26,2006,Palmeiras,Sao Paulo,Palmeiras,3,1
26,2006,Figueirense,Parana,Parana,0,1
26,2006,Internacional,Corinthians,-,1,1
26,2006,Santa Cruz,Juventude,Santa Cruz,1,0
26,2006,Ponte Preta,Cruzeiro,Cruzeiro,0,1
26,2006,Vasco,Botafogo-RJ,-,0,0
26,2006,Goias,Gremio,Goias,4,0
17,2006,Internacional,Parana,Internacional,3,2
17,2006,Athletico-PR,Sao Paulo,-,0,0
27,2006,Fortaleza,Figueirense,-,1,1
27,2006,Juventude,Athletico-PR,Juventude,3,2
27,2006,Parana,Ponte Preta,Parana,2,1
27,2006,Flamengo,Fluminense,Flamengo,4,1
27,2006,Gremio,Palmeiras,Gremio,2,1
27,2006,Sao Caetano,Goias,Goias,1,2
27,2006,Sao Paulo,Vasco,Sao Paulo,5,1
27,2006,Botafogo-RJ,Santa Cruz,Botafogo-RJ,3,0
27,2006,Corinthians,Santos,Santos,0,3
27,2006,Cruzeiro,Internacional,Cruzeiro,2,1
28,2006,Ponte Preta,Juventude,Ponte Preta,3,1
28,2006,Vasco,Fortaleza,Vasco,2,0
28,2006,Fluminense,Sao Paulo,Sao Paulo,1,2
28,2006,Palmeiras,Flamengo,Palmeiras,3,1
28,2006,Santa Cruz,Parana,Parana,1,3
28,2006,Athletico-PR,Cruzeiro,-,1,1
28,2006,Internacional,Sao Caetano,Internacional,1,0
28,2006,Goias,Corinthians,Goias,3,1
28,2006,Santos,Gremio,Santos,1,0
28,2006,Figueirense,Botafogo-RJ,Figueirense,1,0
29,2006,Cruzeiro,Fortaleza,-,0,0
29,2006,Sao Paulo,Juventude,Sao Paulo,5,0
29,2006,Botafogo-RJ,Santos,Botafogo-RJ,4,3
29,2006,Sao Caetano,Gremio,Gremio,0,2
29,2006,Parana,Goias,Parana,1,0
29,2006,Flamengo,Corinthians,Flamengo,3,0
29,2006,Internacional,Fluminense,Internacional,2,0
29,2006,Figueirense,Ponte Preta,Figueirense,2,1
29,2006,Palmeiras,Athletico-PR,-,2,2
29,2006,Santa Cruz,Vasco,Vasco,0,4
30,2006,Vasco,Palmeiras,Vasco,3,0
30,2006,Goias,Santa Cruz,Goias,5,3
30,2006,Santos,Figueirense,Santos,2,1
30,2006,Ponte Preta,Internacional,Internacional,0,2
30,2006,Gremio,Sao Paulo,-,1,1
30,2006,Parana,Flamengo,Flamengo,0,2
30,2006,Fortaleza,Athletico-PR,Athletico-PR,3,4
30,2006,Corinthians,Cruzeiro,Corinthians,1,0
30,2006,Botafogo-RJ,Sao Caetano,Botafogo-RJ,2,1
30,2006,Juventude,Fluminense,-,1,1
31,2006,Corinthians,Palmeiras,Corinthians,1,0
31,2006,Vasco,Flamengo,Vasco,3,1
31,2006,Fluminense,Gremio,Gremio,1,2
31,2006,Internacional,Juventude,Internacional,1,0
31,2006,Santa Cruz,Fortaleza,Fortaleza,0,1
31,2006,Athletico-PR,Parana,Athletico-PR,4,0
31,2006,Figueirense,Sao Paulo,Sao Paulo,0,2
31,2006,Ponte Preta,Botafogo-RJ,Botafogo-RJ,1,2
31,2006,Goias,Cruzeiro,Cruzeiro,2,3
31,2006,Santos,Sao Caetano,Santos,1,0
32,2006,Athletico-PR,Vasco,Athletico-PR,6,4
32,2006,Palmeiras,Goias,Goias,1,3
32,2006,Flamengo,Santa Cruz,-,1,1
32,2006,Gremio,Figueirense,Figueirense,1,2
32,2006,Fortaleza,Corinthians,Corinthians,0,4
32,2006,Juventude,Santos,Juventude,3,2
32,2006,Sao Caetano,Fluminense,-,1,1
32,2006,Botafogo-RJ,Internacional,Internacional,0,1
32,2006,Sao Paulo,Ponte Preta,-,1,1
32,2006,Cruzeiro,Parana,-,2,2
33,2006,Figueirense,Juventude,Figueirense,1,0
33,2006,Flamengo,Athletico-PR,Flamengo,1,0
33,2006,Cruzeiro,Vasco,Cruzeiro,2,1
33,2006,Santos,Sao Paulo,Sao Paulo,0,1
33,2006,Ponte Preta,Sao Caetano,Sao Caetano,1,2
33,2006,Gremio,Internacional,Internacional,0,1
33,2006,Fortaleza,Goias,Goias,0,3
33,2006,Corinthians,Santa Cruz,Corinthians,1,0
33,2006,Botafogo-RJ,Fluminense,Botafogo-RJ,2,1
33,2006,Parana,Palmeiras,Parana,4,2
34,2006,Vasco,Parana,Vasco,3,1
34,2006,Sao Caetano,Figueirense,Sao Caetano,3,1
34,2006,Juventude,Gremio,Gremio,1,2
34,2006,Palmeiras,Fortaleza,Palmeiras,3,0
34,2006,Internacional,Santos,-,0,0
34,2006,Athletico-PR,Corinthians,Corinthians,1,2
34,2006,Goias,Flamengo,Flamengo,0,1
34,2006,Fluminense,Ponte Preta,-,0,0
34,2006,Sao Paulo,Botafogo-RJ,Sao Paulo,3,0
34,2006,Santa Cruz,Cruzeiro,Santa Cruz,4,1
35,2006,Santos,Parana,Santos,1,0
35,2006,Internacional,Fortaleza,Internacional,3,0
35,2006,Vasco,Juventude,-,1,1
35,2006,Fluminense,Cruzeiro,Fluminense,1,0
35,2006,Figueirense,Corinthians,-,0,0
35,2006,Ponte Preta,Flamengo,Ponte Preta,3,0
35,2006,Goias,Sao Paulo,Sao Paulo,0,2
35,2006,Athletico-PR,Gremio,Gremio,2,3
35,2006,Palmeiras,Botafogo-RJ,Palmeiras,2,1
35,2006,Santa Cruz,Sao Caetano,Sao Caetano,0,3
36,2006,Gremio,Santa Cruz,Gremio,3,1
36,2006,Flamengo,Figueirense,Figueirense,0,2
36,2006,Corinthians,Fluminense,-,1,1
36,2006,Parana,Internacional,Parana,1,0
36,2006,Sao Caetano,Vasco,Vasco,0,1
36,2006,Juventude,Palmeiras,Juventude,3,2
36,2006,Sao Paulo,Athletico-PR,-,1,1
36,2006,Botafogo-RJ,Goias,-,2,2
36,2006,Cruzeiro,Santos,-,1,1
36,2006,Fortaleza,Ponte Preta,Fortaleza,1,0
37,2006,Botafogo-RJ,Corinthians,-,0,0
37,2006,Juventude,Fortaleza,-,2,2
37,2006,Gremio,Flamengo,Gremio,3,0
37,2006,Athletico-PR,Figueirense,Figueirense,1,4
37,2006,Sao Caetano,Parana,Parana,0,2
37,2006,Vasco,Santos,-,1,1
37,2006,Goias,Ponte Preta,Goias,3,0
37,2006,Sao Paulo,Cruzeiro,Sao Paulo,2,0
37,2006,Santa Cruz,Fluminense,Fluminense,1,2
37,2006,Palmeiras,Internacional,Internacional,1,4
38,2006,Internacional,Goias,Goias,1,4
38,2006,Flamengo,Sao Caetano,Flamengo,4,1
38,2006,Fluminense,Palmeiras,-,1,1
38,2006,Parana,Sao Paulo,-,0,0
38,2006,Figueirense,Vasco,-,0,0
38,2006,Cruzeiro,Botafogo-RJ,Cruzeiro,3,1
38,2006,Ponte Preta,Athletico-PR,-,1,1
38,2006,Corinthians,Juventude,Corinthians,5,3
38,2006,Fortaleza,Gremio,Fortaleza,1,0
38,2006,Santos,Santa Cruz,Santos,3,1
1,2007,Figueirense,Athletico-PR,Athletico-PR,3,6
1,2007,Sao Paulo,Goias,Sao Paulo,2,0
1,2007,Fluminense,Cruzeiro,-,2,2
1,2007,Flamengo,Palmeiras,Palmeiras,2,4
1,2007,Internacional,Botafogo-RJ,Botafogo-RJ,2,3
1,2007,Parana,Gremio,Parana,3,0
1,2007,Atletico-MG,Nautico,Atletico-MG,2,1
1,2007,Corinthians,Juventude,Corinthians,1,0
1,2007,America-RN,Vasco,Vasco,0,1
1,2007,Sport,Santos,Sport,4,1
2,2007,Juventude,Parana,Parana,1,2
2,2007,Athletico-PR,Internacional,Athletico-PR,2,1
2,2007,Santos,America-RN,America-RN,2,3
2,2007,Cruzeiro,Corinthians,Corinthians,0,3
2,2007,Goias,Flamengo,Flamengo,1,3
2,2007,Palmeiras,Figueirense,Palmeiras,2,1
2,2007,Botafogo-RJ,Atletico-MG,Botafogo-RJ,2,1
2,2007,Gremio,Fluminense,Gremio,2,0
2,2007,Nautico,Sao Paulo,Nautico,1,0
2,2007,Vasco,Sport,Vasco,3,1
3,2007,America-RN,Figueirense,Figueirense,0,1
3,2007,Corinthians,Atletico-MG,-,0,0
3,2007,Fluminense,Internacional,Fluminense,3,0
3,2007,Sao Paulo,Palmeiras,-,0,0
3,2007,Athletico-PR,Santos,Santos,0,1
3,2007,Gremio,Sport,Gremio,1,0
3,2007,Nautico,Vasco,-,2,2
3,2007,Cruzeiro,Parana,Parana,3,4
3,2007,Goias,Juventude,Goias,3,1
3,2007,Flamengo,Botafogo-RJ,-,2,2
4,2007,Atletico-MG,Athletico-PR,-,1,1
4,2007,Botafogo-RJ,Gremio,Botafogo-RJ,3,0
4,2007,Figueirense,Goias,Figueirense,2,1
4,2007,Santos,Corinthians,-,1,1
4,2007,Palmeiras,Cruzeiro,Cruzeiro,1,3
4,2007,Juventude,America-RN,Juventude,3,0
4,2007,Sport,Flamengo,-,2,2
4,2007,Parana,Sao Paulo,Sao Paulo,0,1
4,2007,Vasco,Fluminense,-,1,1
4,2007,Internacional,Nautico,Internacional,2,0
5,2007,Palmeiras,Botafogo-RJ,-,1,1
5,2007,Nautico,Parana,-,4,4
5,2007,Vasco,Gremio,Vasco,4,0
5,2007,Figueirense,Flamengo,Figueirense,4,0
5,2007,Fluminense,Sport,Fluminense,3,0
5,2007,America-RN,Corinthians,Corinthians,1,2
5,2007,Athletico-PR,Goias,Goias,0,3
5,2007,Sao Paulo,Atletico-MG,Atletico-MG,0,1
5,2007,Internacional,Santos,Internacional,1,0
5,2007,Cruzeiro,Juventude,Juventude,2,3
12,2007,Botafogo-RJ,Vasco,Botafogo-RJ,4,0
6,2007,Gremio,Cruzeiro,Cruzeiro,0,2
6,2007,Flamengo,Internacional,-,2,2
6,2007,Corinthians,Parana,-,0,0
6,2007,Atletico-MG,Figueirense,Atletico-MG,4,1
6,2007,Athletico-PR,Fluminense,-,1,1
6,2007,Sao Paulo,Vasco,Sao Paulo,2,0
6,2007,Goias,Palmeiras,Goias,3,1
6,2007,Botafogo-RJ,Nautico,Botafogo-RJ,3,1
6,2007,Sport,America-RN,-,2,2
6,2007,Juventude,Santos,Santos,0,2
7,2007,Parana,Sport,Parana,1,0
7,2007,Juventude,Figueirense,-,1,1
7,2007,Santos,Sao Paulo,Sao Paulo,0,2
7,2007,Cruzeiro,Atletico-MG,Cruzeiro,4,2
7,2007,Palmeiras,Athletico-PR,Athletico-PR,0,2
7,2007,America-RN,Fluminense,Fluminense,0,1
7,2007,Internacional,Gremio,Gremio,0,2
7,2007,Nautico,Goias,Goias,0,2
